booking_id,booking_date,booking_year,booking_month,month_name,quarter,season,day_name,is_weekend,client_name,client_type,client_region,client_country,service_name,service_category,destination,agent_name,agent_team,booking_status,pax,nights,revenue,cost,margin,margin_pct,currency
BK-000006,2020-01-13,2020,1,January,1,Winter,Monday,0,Swiss Premium Tours,Agency,Europe,Switzerland,Marseille Port Tour,Tour,Marseille,Nicolas Petit,Inbound Asia,Completed,10,2,788.43,447.35,341.0799999999999,43.3,EUR
BK-000023,2020-01-14,2020,1,January,1,Winter,Tuesday,0,Voyages Lumiere,Agency,Europe,France,Provence Lavender Tour,Tour,Provence,Marie Dubois,Inbound Europe,Completed,7,0,1114.62,836.13,278.4899999999999,25.0,EUR
BK-000025,2020-01-15,2020,1,January,1,Winter,Wednesday,0,Thai Smile Holidays,Agency,Asia-Pacific,Thailand,Seine River Cruise,Tour,Paris,Marie Dubois,Inbound Europe,Completed,2,0,377.91,288.03,89.88000000000005,23.8,EUR
BK-000026,2020-01-16,2020,1,January,1,Winter,Thursday,0,Alpine Adventures GmbH,Agency,Europe,Germany,Nice Coastal Tour,Tour,Nice,Sophie Laurent,Inbound Asia,Cancelled,7,3,352.26,228.13,124.13,35.2,EUR
BK-000012,2020-01-17,2020,1,January,1,Winter,Friday,0,Alpine Adventures GmbH,Agency,Europe,Germany,Hotel Le Marais,Accommodation,Paris,Pierre Martin,Inbound Europe,Completed,3,13,9727.01,7276.0,2451.01,25.2,EUR
BK-000018,2020-01-18,2020,1,January,1,Winter,Saturday,1,Thai Smile Holidays,Agency,Asia-Pacific,Thailand,Wine Tasting Bordeaux,Tour,Bordeaux,Sophie Laurent,Inbound Asia,Cancelled,5,3,645.76,453.1,192.65999999999997,29.8,EUR
BK-000002,2020-01-19,2020,1,January,1,Winter,Sunday,1,Sakura Travel Group,Agency,Asia-Pacific,Japan,Airport Transfer,Transfer,Paris,Pierre Martin,Inbound Europe,Completed,4,0,231.68,162.29,69.39000000000001,30.0,EUR
BK-000014,2020-01-22,2020,1,January,1,Winter,Wednesday,0,Roma Viaggi SRL,Agency,Europe,Italy,Marseille Port Tour,Tour,Marseille,Pierre Martin,Inbound Europe,Cancelled,5,2,576.07,382.18,193.89000000000004,33.7,EUR
BK-000003,2020-01-23,2020,1,January,1,Winter,Thursday,0,Nordic Explorers AB,Agency,Europe,Sweden,Marseille Port Tour,Tour,Marseille,Thomas Roux,Inbound Americas,Completed,10,3,917.29,703.86,213.42999999999995,23.3,EUR
BK-000028,2020-01-24,2020,1,January,1,Winter,Friday,0,Roma Viaggi SRL,Agency,Europe,Italy,Airport Transfer,Transfer,Paris,Marie Dubois,Inbound Europe,Cancelled,1,0,100.1,67.64,32.459999999999994,32.4,EUR
BK-000007,2020-01-25,2020,1,January,1,Winter,Saturday,1,Nordic Explorers AB,Agency,Europe,Sweden,Hotel Le Marais,Accommodation,Paris,Pierre Martin,Inbound Europe,Completed,7,14,15195.18,10772.18,4423.0,29.1,EUR
BK-000027,2020-01-26,2020,1,January,1,Winter,Sunday,1,Thai Smile Holidays,Agency,Asia-Pacific,Thailand,Mont Blanc Excursion,Tour,Chamonix,Thomas Roux,Inbound Americas,Completed,3,3,235.45,142.31,93.13999999999999,39.6,EUR
BK-000015,2020-01-29,2020,1,January,1,Winter,Wednesday,0,Andalucia Sun Tours,Agency,Europe,Spain,Strasbourg Christmas Tour,Tour,Strasbourg,Pierre Martin,Inbound Europe,Completed,11,1,1042.43,739.85,302.58000000000004,29.0,EUR
BK-000017,2020-01-29,2020,1,January,1,Winter,Wednesday,0,Nordic Explorers AB,Agency,Europe,Sweden,Hotel Promenade Nice,Accommodation,Nice,Pierre Martin,Inbound Europe,Cancelled,2,1,555.23,418.65,136.58000000000004,24.6,EUR
BK-000021,2020-01-29,2020,1,January,1,Winter,Wednesday,0,Andalucia Sun Tours,Agency,Europe,Spain,D-Day Normandy Tour,Tour,Normandy,Jean-Luc Bernard,Inbound Americas,Completed,5,0,751.73,453.71,298.02000000000004,39.6,EUR
BK-000009,2020-01-30,2020,1,January,1,Winter,Thursday,0,Roma Viaggi SRL,Agency,Europe,Italy,Marseille Port Tour,Tour,Marseille,Marie Dubois,Inbound Europe,Completed,4,1,693.08,520.68,172.4000000000001,24.9,EUR
BK-000019,2020-01-30,2020,1,January,1,Winter,Thursday,0,Direct Client - Walk-in,Individual,Europe,France,Nice Coastal Tour,Tour,Nice,Nicolas Petit,Inbound Asia,Completed,8,2,1479.54,980.74,498.79999999999995,33.7,EUR
BK-000022,2020-01-30,2020,1,January,1,Winter,Thursday,0,Nordic Explorers AB,Agency,Europe,Sweden,Ski Package Alps,Tour,Chamonix,Thomas Roux,Inbound Americas,Completed,7,3,549.93,315.79,234.13999999999993,42.6,EUR
BK-000029,2020-02-02,2020,2,February,1,Winter,Sunday,1,Southern Cross Holidays,Agency,Oceania,Australia,Hotel Le Marais,Accommodation,Paris,Pierre Martin,Inbound Europe,Completed,10,14,13768.92,10539.49,3229.4300000000003,23.5,EUR
BK-000035,2020-02-04,2020,2,February,1,Winter,Tuesday,0,Seoul Wanderers Co.,Agency,Asia-Pacific,South Korea,Wine Tasting Bordeaux,Tour,Bordeaux,Jean-Luc Bernard,Inbound Americas,Cancelled,12,2,1217.18,878.65,338.5300000000001,27.8,EUR
BK-000044,2020-02-04,2020,2,February,1,Winter,Tuesday,0,Maple Leaf Journeys,Agency,North America,Canada,Chateau Stay Bordeaux,Accommodation,Bordeaux,Marie Dubois,Inbound Europe,Completed,2,10,4821.48,3068.49,1752.9899999999998,36.4,EUR
BK-000031,2020-02-09,2020,2,February,1,Winter,Sunday,1,Maple Leaf Journeys,Agency,North America,Canada,D-Day Normandy Tour,Tour,Normandy,Isabelle Leroy,Inbound Europe,Completed,3,1,452.26,282.66,169.59999999999997,37.5,EUR
BK-000037,2020-02-09,2020,2,February,1,Winter,Sunday,1,Thai Smile Holidays,Agency,Asia-Pacific,Thailand,Provence Lavender Tour,Tour,Provence,Marie Dubois,Inbound Europe,Cancelled,2,3,122.57,94.47,28.099999999999994,22.9,EUR
BK-000033,2020-02-12,2020,2,February,1,Winter,Wednesday,0,Seoul Wanderers Co.,Agency,Asia-Pacific,South Korea,Hotel Promenade Nice,Accommodation,Nice,Sophie Laurent,Inbound Asia,Completed,8,6,14645.33,10630.83,4014.5,27.4,EUR
BK-000040,2020-02-14,2020,2,February,1,Winter,Friday,0,Southern Cross Holidays,Agency,Oceania,Australia,Wine Tasting Bordeaux,Tour,Bordeaux,Sophie Laurent,Inbound Asia,Completed,7,1,376.03,276.06,99.96999999999997,26.6,EUR
BK-000041,2020-02-14,2020,2,February,1,Winter,Friday,0,Southern Cross Holidays,Agency,Oceania,Australia,Hotel Promenade Nice,Accommodation,Nice,Pierre Martin,Inbound Europe,Completed,7,5,11041.98,8443.23,2598.75,23.5,EUR
BK-000036,2020-02-17,2020,2,February,1,Winter,Monday,0,Pacific Coast Tours,Agency,North America,USA,Lyon Food Tour,Tour,Lyon,Isabelle Leroy,Inbound Europe,Completed,5,0,283.07,179.29,103.78,36.7,EUR
BK-000038,2020-02-18,2020,2,February,1,Winter,Tuesday,0,Amazon Corp Travel,Corporate,North America,USA,TGV Train Booking,Transfer,Multi-city,Sophie Laurent,Inbound Asia,Cancelled,7,0,317.05,198.81,118.24000000000001,37.3,EUR
BK-000030,2020-02-19,2020,2,February,1,Winter,Wednesday,0,Swiss Premium Tours,Agency,Europe,Switzerland,Ski Package Alps,Tour,Chamonix,Pierre Martin,Inbound Europe,Completed,7,0,1040.24,719.12,321.12,30.9,EUR
BK-000032,2020-02-25,2020,2,February,1,Winter,Tuesday,0,Swiss Premium Tours,Agency,Europe,Switzerland,City Walking Tour,Tour,Paris,Pierre Martin,Inbound Europe,Completed,2,3,261.29,176.76,84.53000000000003,32.4,EUR
BK-000034,2020-02-26,2020,2,February,1,Winter,Wednesday,0,Thai Smile Holidays,Agency,Asia-Pacific,Thailand,Strasbourg Christmas Tour,Tour,Strasbourg,Camille Moreau,Corporate,Completed,11,0,720.92,554.77,166.14999999999998,23.0,EUR
BK-000039,2020-02-26,2020,2,February,1,Winter,Wednesday,0,Beijing Star International,Agency,Asia-Pacific,China,TGV Train Booking,Transfer,Multi-city,Jean-Luc Bernard,Inbound Americas,Cancelled,11,0,465.69,346.95,118.74000000000001,25.5,EUR
BK-000042,2020-02-27,2020,2,February,1,Winter,Thursday,0,Seoul Wanderers Co.,Agency,Asia-Pacific,South Korea,TGV Train Booking,Transfer,Multi-city,Jean-Luc Bernard,Inbound Americas,Completed,4,0,131.36,78.59,52.77000000000001,40.2,EUR
BK-000043,2020-02-28,2020,2,February,1,Winter,Friday,0,Andalucia Sun Tours,Agency,Europe,Spain,Lyon Food Tour,Tour,Lyon,Isabelle Leroy,Inbound Europe,Cancelled,11,2,2168.9,1483.64,685.26,31.6,EUR
BK-000063,2020-03-02,2020,3,March,1,Spring,Monday,0,Pacific Coast Tours,Agency,North America,USA,Hotel Promenade Nice,Accommodation,Nice,Marie Dubois,Inbound Europe,Completed,1,11,3700.35,2219.62,1480.73,40.0,EUR
BK-000078,2020-03-02,2020,3,March,1,Spring,Monday,0,Gulf Luxury Travel,Corporate,Middle East,UAE,Marseille Port Tour,Tour,Marseille,Thomas Roux,Inbound Americas,Completed,2,2,361.82,250.93,110.88999999999999,30.6,EUR
BK-000047,2020-03-04,2020,3,March,1,Spring,Wednesday,0,Direct Client - Web,Individual,North America,USA,Strasbourg Christmas Tour,Tour,Strasbourg,Nicolas Petit,Inbound Asia,Completed,7,2,1082.07,745.12,336.94999999999993,31.1,EUR
BK-000067,2020-03-04,2020,3,March,1,Spring,Wednesday,0,Kiwi Adventures Ltd,Agency,Oceania,New Zealand,Airport Transfer,Transfer,Paris,Isabelle Leroy,Inbound Europe,Completed,11,0,819.15,554.15,265.0,32.4,EUR
BK-000054,2020-03-05,2020,3,March,1,Spring,Thursday,0,Horizon Corp Events,Corporate,Europe,UK,Strasbourg Christmas Tour,Tour,Strasbourg,Isabelle Leroy,Inbound Europe,Cancelled,9,2,1051.98,620.45,431.53,41.0,EUR
BK-000064,2020-03-05,2020,3,March,1,Spring,Thursday,0,Voyages Lumiere,Agency,Europe,France,Wine Tasting Bordeaux,Tour,Bordeaux,Jean-Luc Bernard,Inbound Americas,Completed,8,3,1239.36,919.26,320.0999999999999,25.8,EUR
BK-000069,2020-03-06,2020,3,March,1,Spring,Friday,0,Horizon Corp Events,Corporate,Europe,UK,Lyon Food Tour,Tour,Lyon,Isabelle Leroy,Inbound Europe,Completed,12,3,1666.45,1050.82,615.6300000000001,36.9,EUR
BK-000057,2020-03-07,2020,3,March,1,Spring,Saturday,1,Roma Viaggi SRL,Agency,Europe,Italy,Versailles Day Trip,Tour,Versailles,Thomas Roux,Inbound Americas,Completed,7,3,415.38,314.95,100.43,24.2,EUR
BK-000051,2020-03-08,2020,3,March,1,Spring,Sunday,1,Alpine Adventures GmbH,Agency,Europe,Germany,Wine Tasting Bordeaux,Tour,Bordeaux,Jean-Luc Bernard,Inbound Americas,Completed,8,0,1133.53,841.22,292.30999999999995,25.8,EUR
BK-000056,2020-03-08,2020,3,March,1,Spring,Sunday,1,Thai Smile Holidays,Agency,Asia-Pacific,Thailand,D-Day Normandy Tour,Tour,Normandy,Pierre Martin,Inbound Europe,Completed,3,2,217.87,140.69,77.18,35.4,EUR
BK-000072,2020-03-09,2020,3,March,1,Spring,Monday,0,Pacific Coast Tours,Agency,North America,USA,City Walking Tour,Tour,Paris,Jean-Luc Bernard,Inbound Americas,Completed,12,1,1331.57,917.18,414.39,31.1,EUR
BK-000077,2020-03-10,2020,3,March,1,Spring,Tuesday,0,Nordic Explorers AB,Agency,Europe,Sweden,Nice Coastal Tour,Tour,Nice,Nicolas Petit,Inbound Asia,Completed,3,2,286.02,207.94,78.07999999999998,27.3,EUR
BK-000049,2020-03-14,2020,3,March,1,Spring,Saturday,1,Roma Viaggi SRL,Agency,Europe,Italy,Hotel Negresco Nice,Accommodation,Nice,Thomas Roux,Inbound Americas,Completed,8,11,17545.72,10587.53,6958.1900000000005,39.7,EUR
BK-000055,2020-03-15,2020,3,March,1,Spring,Sunday,1,Maple Leaf Journeys,Agency,North America,Canada,Hotel Promenade Nice,Accommodation,Nice,Thomas Roux,Inbound Americas,Completed,11,14,22267.84,14696.07,7571.77,34.0,EUR
BK-000062,2020-03-15,2020,3,March,1,Spring,Sunday,1,Maple Leaf Journeys,Agency,North America,Canada,D-Day Normandy Tour,Tour,Normandy,Isabelle Leroy,Inbound Europe,Completed,5,3,876.18,584.92,291.26,33.2,EUR
BK-000075,2020-03-15,2020,3,March,1,Spring,Sunday,1,Nordic Explorers AB,Agency,Europe,Sweden,Mont Blanc Excursion,Tour,Chamonix,Pierre Martin,Inbound Europe,Completed,12,2,946.65,548.95,397.69999999999993,42.0,EUR
BK-000079,2020-03-15,2020,3,March,1,Spring,Sunday,1,Maple Leaf Journeys,Agency,North America,Canada,Chateau Stay Bordeaux,Accommodation,Bordeaux,Thomas Roux,Inbound Americas,Completed,2,1,603.94,392.67,211.27000000000004,35.0,EUR
BK-000073,2020-03-16,2020,3,March,1,Spring,Monday,0,Sakura Travel Group,Agency,Asia-Pacific,Japan,Hotel Vieux Lyon,Accommodation,Lyon,Pierre Martin,Inbound Europe,Completed,5,8,5593.24,4043.61,1549.6299999999997,27.7,EUR
BK-000074,2020-03-19,2020,3,March,1,Spring,Thursday,0,Andalucia Sun Tours,Agency,Europe,Spain,Hotel Vieux Lyon,Accommodation,Lyon,Nicolas Petit,Inbound Asia,Completed,7,9,21992.7,15122.12,6870.58,31.2,EUR
BK-000045,2020-03-20,2020,3,March,1,Spring,Friday,0,Amazon Corp Travel,Corporate,North America,USA,Seine River Cruise,Tour,Paris,Jean-Luc Bernard,Inbound Americas,Completed,5,3,283.29,186.69,96.60000000000002,34.1,EUR
BK-000065,2020-03-20,2020,3,March,1,Spring,Friday,0,Voyages Lumiere,Agency,Europe,France,Chateau Stay Bordeaux,Accommodation,Bordeaux,Marie Dubois,Inbound Europe,Completed,5,5,5886.63,4573.95,1312.6800000000003,22.3,EUR
BK-000048,2020-03-22,2020,3,March,1,Spring,Sunday,1,Amazon Corp Travel,Corporate,North America,USA,Chateau Stay Bordeaux,Accommodation,Bordeaux,Camille Moreau,Corporate,Completed,7,10,15956.01,8777.42,7178.59,45.0,EUR
BK-000060,2020-03-22,2020,3,March,1,Spring,Sunday,1,Horizon Corp Events,Corporate,Europe,UK,Chateau Stay Bordeaux,Accommodation,Bordeaux,Sophie Laurent,Inbound Asia,Completed,10,14,31389.87,24381.52,7008.3499999999985,22.3,EUR
BK-000061,2020-03-22,2020,3,March,1,Spring,Sunday,1,Direct Client - Web,Individual,North America,USA,Hotel Le Marais,Accommodation,Paris,Sophie Laurent,Inbound Asia,Completed,8,11,11357.88,6985.54,4372.339999999999,38.5,EUR
BK-000053,2020-03-25,2020,3,March,1,Spring,Wednesday,0,Southern Cross Holidays,Agency,Oceania,Australia,Versailles Day Trip,Tour,Versailles,Thomas Roux,Inbound Americas,Completed,1,1,133.61,104.13,29.480000000000018,22.1,EUR
BK-000058,2020-03-25,2020,3,March,1,Spring,Wednesday,0,Mumbai Getaways Pvt,Agency,Asia-Pacific,India,City Walking Tour,Tour,Paris,Marie Dubois,Inbound Europe,Cancelled,6,3,568.75,368.26,200.49,35.3,EUR
BK-000076,2020-03-25,2020,3,March,1,Spring,Wednesday,0,Beijing Star International,Agency,Asia-Pacific,China,Chateau Stay Bordeaux,Accommodation,Bordeaux,Thomas Roux,Inbound Americas,Completed,5,4,5512.76,4377.97,1134.79,20.6,EUR
BK-000046,2020-03-26,2020,3,March,1,Spring,Thursday,0,Direct Client - Web,Individual,North America,USA,Nice Coastal Tour,Tour,Nice,Pierre Martin,Inbound Europe,Completed,11,2,2069.27,1460.47,608.8,29.4,EUR
BK-000059,2020-03-27,2020,3,March,1,Spring,Friday,0,Mumbai Getaways Pvt,Agency,Asia-Pacific,India,Marseille Port Tour,Tour,Marseille,Jean-Luc Bernard,Inbound Americas,Completed,5,1,576.88,321.47,255.40999999999997,44.3,EUR
BK-000068,2020-03-28,2020,3,March,1,Spring,Saturday,1,Direct Client - Web,Individual,North America,USA,Hotel Vieux Lyon,Accommodation,Lyon,Nicolas Petit,Inbound Asia,Completed,11,2,7055.96,4691.75,2364.21,33.5,EUR
BK-000071,2020-03-28,2020,3,March,1,Spring,Saturday,1,Beijing Star International,Agency,Asia-Pacific,China,Chateau Stay Bordeaux,Accommodation,Bordeaux,Nicolas Petit,Inbound Asia,Completed,5,8,6875.66,5294.81,1580.8499999999995,23.0,EUR
BK-000050,2020-03-29,2020,3,March,1,Spring,Sunday,1,Andalucia Sun Tours,Agency,Europe,Spain,Hotel Le Marais,Accommodation,Paris,Nicolas Petit,Inbound Asia,Completed,2,5,3009.74,2220.54,789.1999999999998,26.2,EUR
BK-000052,2020-03-29,2020,3,March,1,Spring,Sunday,1,Direct Client - Walk-in,Individual,Europe,France,Ski Package Alps,Tour,Chamonix,Thomas Roux,Inbound Americas,Completed,7,1,606.18,432.82,173.35999999999996,28.6,EUR
BK-000070,2020-03-30,2020,3,March,1,Spring,Monday,0,Nordic Explorers AB,Agency,Europe,Sweden,Lyon Food Tour,Tour,Lyon,Thomas Roux,Inbound Americas,Completed,10,3,1415.5,912.64,502.86,35.5,EUR
BK-000066,2020-03-31,2020,3,March,1,Spring,Tuesday,0,Nordic Explorers AB,Agency,Europe,Sweden,Hotel Le Marais,Accommodation,Paris,Pierre Martin,Inbound Europe,Completed,12,10,34628.38,26406.68,8221.699999999997,23.7,EUR
BK-000086,2020-04-02,2020,4,April,2,Spring,Thursday,0,Horizon Corp Events,Corporate,Europe,UK,Mont Blanc Excursion,Tour,Chamonix,Pierre Martin,Inbound Europe,Cancelled,8,2,1226.41,889.07,337.34000000000003,27.5,EUR
BK-000117,2020-04-02,2020,4,April,2,Spring,Thursday,0,Voyages Lumiere,Agency,Europe,France,Hotel Vieux Lyon,Accommodation,Lyon,Jean-Luc Bernard,Inbound Americas,Completed,9,2,2099.33,1392.72,706.6099999999999,33.7,EUR
BK-000114,2020-04-03,2020,4,April,2,Spring,Friday,0,Direct Client - Walk-in,Individual,Europe,France,Hotel Promenade Nice,Accommodation,Nice,Nicolas Petit,Inbound Asia,Completed,2,14,8217.56,4548.25,3669.3099999999995,44.7,EUR
BK-000131,2020-04-03,2020,4,April,2,Spring,Friday,0,Voyages Lumiere,Agency,Europe,France,Hotel Le Marais,Accommodation,Paris,Nicolas Petit,Inbound Asia,Completed,3,7,4834.62,3367.87,1466.75,30.3,EUR
BK-000091,2020-04-04,2020,4,April,2,Spring,Saturday,1,Thai Smile Holidays,Agency,Asia-Pacific,Thailand,Strasbourg Christmas Tour,Tour,Strasbourg,Thomas Roux,Inbound Americas,Completed,7,0,406.91,276.54,130.37,32.0,EUR
BK-000100,2020-04-04,2020,4,April,2,Spring,Saturday,1,Sakura Travel Group,Agency,Asia-Pacific,Japan,Seine River Cruise,Tour,Paris,Sophie Laurent,Inbound Asia,Completed,7,3,1264.48,1002.09,262.39,20.8,EUR
BK-000127,2020-04-04,2020,4,April,2,Spring,Saturday,1,Pacific Coast Tours,Agency,North America,USA,Provence Lavender Tour,Tour,Provence,Nicolas Petit,Inbound Asia,Completed,10,0,722.5,420.17,302.33,41.8,EUR
BK-000129,2020-04-04,2020,4,April,2,Spring,Saturday,1,Direct Client - Web,Individual,North America,USA,Marseille Port Tour,Tour,Marseille,Thomas Roux,Inbound Americas,Completed,4,1,448.29,339.29,109.0,24.3,EUR
BK-000096,2020-04-05,2020,4,April,2,Spring,Sunday,1,Roma Viaggi SRL,Agency,Europe,Italy,Lyon Food Tour,Tour,Lyon,Camille Moreau,Corporate,Completed,1,3,92.43,57.74,34.690000000000005,37.5,EUR
BK-000123,2020-04-05,2020,4,April,2,Spring,Sunday,1,Southern Cross Holidays,Agency,Oceania,Australia,Marseille Port Tour,Tour,Marseille,Pierre Martin,Inbound Europe,Completed,11,2,1979.64,1154.03,825.6100000000001,41.7,EUR
BK-000089,2020-04-06,2020,4,April,2,Spring,Monday,0,Pacific Coast Tours,Agency,North America,USA,Versailles Day Trip,Tour,Versailles,Thomas Roux,Inbound Americas,Completed,6,3,667.51,420.71,246.8,37.0,EUR
BK-000090,2020-04-06,2020,4,April,2,Spring,Monday,0,Seoul Wanderers Co.,Agency,Asia-Pacific,South Korea,Versailles Day Trip,Tour,Versailles,Isabelle Leroy,Inbound Europe,Completed,9,3,499.54,285.74,213.8,42.8,EUR
BK-000105,2020-04-06,2020,4,April,2,Spring,Monday,0,Swiss Premium Tours,Agency,Europe,Switzerland,Chateau Stay Bordeaux,Accommodation,Bordeaux,Isabelle Leroy,Inbound Europe,Completed,10,2,5288.93,3566.94,1721.9900000000002,32.6,EUR
BK-000083,2020-04-08,2020,4,April,2,Spring,Wednesday,0,Southern Cross Holidays,Agency,Oceania,Australia,Marseille Port Tour,Tour,Marseille,Marie Dubois,Inbound Europe,Completed,7,0,823.03,574.85,248.17999999999995,30.2,EUR
BK-000084,2020-04-08,2020,4,April,2,Spring,Wednesday,0,Pacific Coast Tours,Agency,North America,USA,Mont Blanc Excursion,Tour,Chamonix,Jean-Luc Bernard,Inbound Americas,Completed,5,3,840.87,593.88,246.99,29.4,EUR
BK-000088,2020-04-08,2020,4,April,2,Spring,Wednesday,0,Maple Leaf Journeys,Agency,North America,Canada,Ski Package Alps,Tour,Chamonix,Marie Dubois,Inbound Europe,Cancelled,3,0,361.73,257.87,103.86000000000001,28.7,EUR
BK-000106,2020-04-08,2020,4,April,2,Spring,Wednesday,0,Maple Leaf Journeys,Agency,North America,Canada,Lyon Food Tour,Tour,Lyon,Marie Dubois,Inbound Europe,Completed,8,3,1481.45,1065.76,415.69000000000005,28.1,EUR
BK-000111,2020-04-09,2020,4,April,2,Spring,Thursday,0,Alpine Adventures GmbH,Agency,Europe,Germany,Wine Tasting Bordeaux,Tour,Bordeaux,Camille Moreau,Corporate,Completed,8,0,440.04,282.16,157.88,35.9,EUR
BK-000119,2020-04-09,2020,4,April,2,Spring,Thursday,0,Beijing Star International,Agency,Asia-Pacific,China,TGV Train Booking,Transfer,Multi-city,Thomas Roux,Inbound Americas,Completed,8,0,1152.53,880.37,272.15999999999997,23.6,EUR
BK-000132,2020-04-11,2020,4,April,2,Spring,Saturday,1,Kiwi Adventures Ltd,Agency,Oceania,New Zealand,Seine River Cruise,Tour,Paris,Isabelle Leroy,Inbound Europe,Completed,12,3,692.6,430.73,261.87,37.8,EUR
BK-000082,2020-04-14,2020,4,April,2,Spring,Tuesday,0,Swiss Premium Tours,Agency,Europe,Switzerland,Ski Package Alps,Tour,Chamonix,Pierre Martin,Inbound Europe,Completed,4,0,575.31,354.48,220.82999999999993,38.4,EUR
BK-000107,2020-04-15,2020,4,April,2,Spring,Wednesday,0,Direct Client - Web,Individual,North America,USA,Ski Package Alps,Tour,Chamonix,Camille Moreau,Corporate,Completed,8,2,1414.36,848.34,566.0199999999999,40.0,EUR
BK-000115,2020-04-15,2020,4,April,2,Spring,Wednesday,0,Kiwi Adventures Ltd,Agency,Oceania,New Zealand,Lyon Food Tour,Tour,Lyon,Pierre Martin,Inbound Europe,Cancelled,11,3,935.81,520.55,415.26,44.4,EUR
BK-000121,2020-04-15,2020,4,April,2,Spring,Wednesday,0,Alpine Adventures GmbH,Agency,Europe,Germany,Nice Coastal Tour,Tour,Nice,Nicolas Petit,Inbound Asia,Completed,4,0,793.29,592.38,200.90999999999997,25.3,EUR
BK-000092,2020-04-16,2020,4,April,2,Spring,Thursday,0,Beijing Star International,Agency,Asia-Pacific,China,Provence Lavender Tour,Tour,Provence,Camille Moreau,Corporate,Cancelled,9,0,626.87,389.92,236.95,37.8,EUR
BK-000093,2020-04-16,2020,4,April,2,Spring,Thursday,0,Southern Cross Holidays,Agency,Oceania,Australia,City Walking Tour,Tour,Paris,Camille Moreau,Corporate,Completed,9,1,468.46,305.43,163.02999999999997,34.8,EUR
BK-000095,2020-04-16,2020,4,April,2,Spring,Thursday,0,Thai Smile Holidays,Agency,Asia-Pacific,Thailand,Hotel Promenade Nice,Accommodation,Nice,Sophie Laurent,Inbound Asia,Completed,7,8,7362.03,5152.28,2209.75,30.0,EUR
BK-000099,2020-04-16,2020,4,April,2,Spring,Thursday,0,Gulf Luxury Travel,Corporate,Middle East,UAE,Private Car Service,Transfer,Multi-city,Thomas Roux,Inbound Americas,Completed,1,0,45.15,35.73,9.420000000000002,20.9,EUR
BK-000108,2020-04-16,2020,4,April,2,Spring,Thursday,0,Amazon Corp Travel,Corporate,North America,USA,Hotel Promenade Nice,Accommodation,Nice,Nicolas Petit,Inbound Asia,Completed,10,7,11191.99,8112.18,3079.8099999999995,27.5,EUR
BK-000087,2020-04-17,2020,4,April,2,Spring,Friday,0,Pacific Coast Tours,Agency,North America,USA,Hotel Vieux Lyon,Accommodation,Lyon,Marie Dubois,Inbound Europe,Completed,7,8,15586.15,10924.78,4661.369999999999,29.9,EUR
