booking_id,booking_date,checkin_date,checkout_date,client_id,client_name,service_id,service_name,service_category,destination,agent_id,agent_name,status,pax,nights,revenue,cost,currency
BK-020057,2024-01-20,2024-03-08,2024-03-09,3,Pacific Coast Tours,19,Ski Package Alps,Tour,Chamonix,2,Pierre Martin,Completed,12,1,1367.49,949.93,EUR
BK-020058,2024-01-03,2024-03-27,2024-03-29,8,Nordic Explorers AB,7,Nice Coastal Tour,Tour,Nice,5,Camille Moreau,Completed,12,2,1441.64,813.46,EUR
BK-020059,2024-01-16,2024-04-09,2024-04-12,16,Mumbai Getaways Pvt,1,City Walking Tour,Tour,Paris,6,Nicolas Petit,Completed,1,3,158.48,109.02,EUR
BK-020060,2024-01-10,2024-03-23,2024-03-26,7,Beijing Star International,10,Mont Blanc Excursion,Tour,Chamonix,6,Nicolas Petit,Cancelled,8,3,853.46,558.19,EUR
BK-020061,2024-01-05,2024-01-15,2024-01-24,1,Sakura Travel Group,8,Hotel Promenade Nice,Accommodation,Nice,6,Nicolas Petit,Completed,10,9,15909.19,11179.74,EUR
BK-020062,2024-01-18,2024-02-23,2024-02-24,9,Maple Leaf Journeys,12,TGV Train Booking,Transfer,Multi-city,3,Sophie Laurent,Completed,3,0,414.08,288.06,EUR
BK-020063,2024-01-07,2024-02-01,2024-02-02,11,Roma Viaggi SRL,2,Airport Transfer,Transfer,Paris,2,Pierre Martin,Completed,6,0,391.78,272.47,EUR
BK-020064,2024-01-23,2024-03-09,2024-03-10,1,Sakura Travel Group,4,Seine River Cruise,Tour,Paris,7,Isabelle Leroy,Completed,8,0,770.35,444.35,EUR
BK-020065,2024-01-28,2024-03-23,2024-03-30,12,Kiwi Adventures Ltd,8,Hotel Promenade Nice,Accommodation,Nice,1,Marie Dubois,Completed,6,7,11683.27,7161.29,EUR
BK-020066,2024-01-16,2024-02-04,2024-02-05,9,Maple Leaf Journeys,5,Wine Tasting Bordeaux,Tour,Bordeaux,3,Sophie Laurent,Completed,7,1,1259.48,846.01,EUR
BK-020067,2024-01-26,2024-03-26,2024-03-27,7,Beijing Star International,2,Airport Transfer,Transfer,Paris,3,Sophie Laurent,Completed,4,0,423.98,290.96,EUR
BK-020068,2024-01-03,2024-02-29,2024-03-13,17,Andalucia Sun Tours,3,Hotel Le Marais,Accommodation,Paris,4,Jean-Luc Bernard,Completed,6,13,26131.89,16379.52,EUR
BK-020069,2024-02-05,2024-02-21,2024-02-24,15,Horizon Corp Events,3,Hotel Le Marais,Accommodation,Paris,6,Nicolas Petit,Completed,10,3,5827.2,4308.37,EUR
BK-020070,2024-02-27,2024-03-26,2024-03-28,10,Seoul Wanderers Co.,3,Hotel Le Marais,Accommodation,Paris,4,Jean-Luc Bernard,Completed,4,2,2779.55,1601.82,EUR
BK-020071,2024-02-18,2024-04-23,2024-04-24,6,Southern Cross Holidays,13,Private Car Service,Transfer,Multi-city,4,Jean-Luc Bernard,Completed,1,0,127.97,93.8,EUR
BK-020072,2024-02-19,2024-03-24,2024-03-25,8,Nordic Explorers AB,1,City Walking Tour,Tour,Paris,2,Pierre Martin,Completed,9,0,1531.57,935.58,EUR
BK-020073,2024-02-18,2024-04-06,2024-04-17,2,Alpine Adventures GmbH,3,Hotel Le Marais,Accommodation,Paris,1,Marie Dubois,Completed,3,11,3243.41,1907.99,EUR
BK-020074,2024-02-09,2024-02-13,2024-02-14,15,Horizon Corp Events,18,Marseille Port Tour,Tour,Marseille,1,Marie Dubois,Completed,3,0,383.01,303.78,EUR
BK-020075,2024-02-21,2024-05-02,2024-05-11,15,Horizon Corp Events,16,Hotel Vieux Lyon,Accommodation,Lyon,4,Jean-Luc Bernard,Completed,3,9,7696.67,4774.92,EUR
BK-020076,2024-02-16,2024-02-18,2024-02-19,1,Sakura Travel Group,7,Nice Coastal Tour,Tour,Nice,5,Camille Moreau,Completed,4,1,586.54,420.01,EUR
BK-020077,2024-02-24,2024-03-22,2024-03-24,5,Gulf Luxury Travel,10,Mont Blanc Excursion,Tour,Chamonix,2,Pierre Martin,Completed,1,2,111.7,63.29,EUR
BK-020078,2024-02-01,2024-03-10,2024-03-11,1,Sakura Travel Group,13,Private Car Service,Transfer,Multi-city,2,Pierre Martin,Completed,1,0,105.48,60.93,EUR
BK-020079,2024-02-11,2024-03-29,2024-04-01,19,Amazon Corp Travel,11,D-Day Normandy Tour,Tour,Normandy,5,Camille Moreau,Cancelled,3,3,171.3,114.44,EUR
BK-020080,2024-02-05,2024-05-03,2024-05-04,20,Swiss Premium Tours,5,Wine Tasting Bordeaux,Tour,Bordeaux,6,Nicolas Petit,Completed,7,1,1142.77,912.94,EUR
BK-020081,2024-02-22,2024-03-04,2024-03-11,3,Pacific Coast Tours,16,Hotel Vieux Lyon,Accommodation,Lyon,8,Thomas Roux,Completed,12,7,19278.5,14695.0,EUR
BK-020082,2024-02-14,2024-04-15,2024-04-17,3,Pacific Coast Tours,15,Provence Lavender Tour,Tour,Provence,4,Jean-Luc Bernard,Completed,9,2,1098.52,784.42,EUR
BK-020083,2024-02-07,2024-04-25,2024-04-26,18,Thai Smile Holidays,18,Marseille Port Tour,Tour,Marseille,4,Jean-Luc Bernard,Completed,10,0,1184.71,839.92,EUR
BK-020084,2024-02-09,2024-04-14,2024-04-18,2,Alpine Adventures GmbH,16,Hotel Vieux Lyon,Accommodation,Lyon,5,Camille Moreau,Completed,6,4,2677.57,1641.96,EUR
BK-020085,2024-02-17,2024-04-10,2024-04-11,15,Horizon Corp Events,17,Strasbourg Christmas Tour,Tour,Strasbourg,4,Jean-Luc Bernard,Completed,5,0,335.1,230.84,EUR
BK-020086,2024-02-16,2024-05-01,2024-05-02,10,Seoul Wanderers Co.,13,Private Car Service,Transfer,Multi-city,1,Marie Dubois,Completed,4,0,420.66,315.01,EUR
BK-020087,2024-02-16,2024-03-28,2024-03-30,20,Swiss Premium Tours,17,Strasbourg Christmas Tour,Tour,Strasbourg,4,Jean-Luc Bernard,Completed,10,2,659.06,524.69,EUR
BK-020088,2024-02-08,2024-05-03,2024-05-04,5,Gulf Luxury Travel,13,Private Car Service,Transfer,Multi-city,1,Marie Dubois,Completed,6,0,828.38,626.93,EUR
BK-020089,2024-02-25,2024-03-27,2024-03-28,15,Horizon Corp Events,19,Ski Package Alps,Tour,Chamonix,2,Pierre Martin,Cancelled,11,1,1479.84,907.02,EUR
BK-020090,2024-02-08,2024-04-15,2024-04-18,15,Horizon Corp Events,11,D-Day Normandy Tour,Tour,Normandy,1,Marie Dubois,Cancelled,3,3,589.7,433.26,EUR
BK-020091,2024-02-03,2024-03-20,2024-03-23,18,Thai Smile Holidays,7,Nice Coastal Tour,Tour,Nice,5,Camille Moreau,Completed,3,3,174.83,135.29,EUR
BK-020092,2024-02-21,2024-04-06,2024-04-07,11,Roma Viaggi SRL,11,D-Day Normandy Tour,Tour,Normandy,5,Camille Moreau,Completed,5,1,952.73,726.32,EUR
BK-020093,2024-02-17,2024-05-03,2024-05-06,15,Horizon Corp Events,14,Versailles Day Trip,Tour,Versailles,3,Sophie Laurent,Cancelled,11,3,1731.08,1267.98,EUR
BK-020094,2024-02-26,2024-03-11,2024-03-12,2,Alpine Adventures GmbH,2,Airport Transfer,Transfer,Paris,8,Thomas Roux,Completed,3,0,334.49,184.73,EUR
BK-020095,2024-02-25,2024-05-15,2024-05-18,3,Pacific Coast Tours,10,Mont Blanc Excursion,Tour,Chamonix,2,Pierre Martin,Completed,3,3,282.77,162.99,EUR
BK-020096,2024-02-22,2024-04-25,2024-04-26,9,Maple Leaf Journeys,18,Marseille Port Tour,Tour,Marseille,2,Pierre Martin,Completed,1,0,192.88,153.61,EUR
BK-020097,2024-02-14,2024-04-16,2024-04-25,14,Direct Client - Web,3,Hotel Le Marais,Accommodation,Paris,5,Camille Moreau,Completed,5,9,5409.56,3561.39,EUR
BK-020098,2024-02-10,2024-04-14,2024-04-15,9,Maple Leaf Journeys,2,Airport Transfer,Transfer,Paris,7,Isabelle Leroy,Cancelled,8,0,318.88,239.57,EUR
BK-020099,2024-02-17,2024-04-17,2024-04-18,8,Nordic Explorers AB,15,Provence Lavender Tour,Tour,Provence,4,Jean-Luc Bernard,Completed,3,0,296.83,220.88,EUR
BK-020100,2024-02-22,2024-03-31,2024-04-13,1,Sakura Travel Group,8,Hotel Promenade Nice,Accommodation,Nice,8,Thomas Roux,Completed,4,13,6049.84,4598.04,EUR
BK-020101,2024-02-25,2024-05-03,2024-05-06,9,Maple Leaf Journeys,19,Ski Package Alps,Tour,Chamonix,1,Marie Dubois,Completed,4,3,583.45,329.22,EUR
BK-020102,2024-02-08,2024-04-14,2024-04-17,15,Horizon Corp Events,4,Seine River Cruise,Tour,Paris,3,Sophie Laurent,Completed,5,3,552.96,383.42,EUR
BK-020103,2024-02-01,2024-03-09,2024-03-10,4,Voyages Lumiere,17,Strasbourg Christmas Tour,Tour,Strasbourg,4,Jean-Luc Bernard,Cancelled,1,0,63.99,42.01,EUR
BK-020104,2024-02-08,2024-02-26,2024-02-28,9,Maple Leaf Journeys,8,Hotel Promenade Nice,Accommodation,Nice,6,Nicolas Petit,Completed,12,2,4375.63,2813.08,EUR
BK-020105,2024-02-04,2024-02-26,2024-02-28,20,Swiss Premium Tours,15,Provence Lavender Tour,Tour,Provence,2,Pierre Martin,Completed,8,2,468.24,286.3,EUR
BK-020106,2024-02-25,2024-04-24,2024-04-25,5,Gulf Luxury Travel,9,Lyon Food Tour,Tour,Lyon,6,Nicolas Petit,Completed,7,1,1196.37,798.28,EUR
BK-020107,2024-02-27,2024-05-26,2024-05-27,13,Direct Client - Walk-in,11,D-Day Normandy Tour,Tour,Normandy,3,Sophie Laurent,Completed,6,1,382.27,272.31,EUR
BK-020108,2024-02-04,2024-02-14,2024-02-16,4,Voyages Lumiere,11,D-Day Normandy Tour,Tour,Normandy,2,Pierre Martin,Completed,2,2,277.56,216.51,EUR
BK-020109,2024-02-05,2024-02-09,2024-02-10,1,Sakura Travel Group,13,Private Car Service,Transfer,Multi-city,8,Thomas Roux,Completed,2,0,119.48,77.72,EUR
BK-020110,2024-02-02,2024-02-07,2024-02-08,5,Gulf Luxury Travel,12,TGV Train Booking,Transfer,Multi-city,3,Sophie Laurent,Completed,2,0,294.66,184.85,EUR
BK-020111,2024-02-28,2024-04-23,2024-04-24,12,Kiwi Adventures Ltd,15,Provence Lavender Tour,Tour,Provence,4,Jean-Luc Bernard,Completed,9,1,808.44,472.15,EUR
BK-020112,2024-02-04,2024-02-20,2024-02-21,11,Roma Viaggi SRL,14,Versailles Day Trip,Tour,Versailles,5,Camille Moreau,Completed,5,0,800.92,523.22,EUR
BK-020113,2024-02-18,2024-03-25,2024-03-27,7,Beijing Star International,11,D-Day Normandy Tour,Tour,Normandy,8,Thomas Roux,Completed,6,2,781.78,460.12,EUR
BK-020114,2024-02-24,2024-05-17,2024-05-23,2,Alpine Adventures GmbH,20,Hotel Negresco Nice,Accommodation,Nice,2,Pierre Martin,Cancelled,5,6,9297.27,6462.83,EUR
BK-020115,2024-02-10,2024-02-15,2024-02-28,7,Beijing Star International,6,Chateau Stay Bordeaux,Accommodation,Bordeaux,3,Sophie Laurent,Completed,4,13,9036.62,5807.02,EUR
BK-020116,2024-02-12,2024-04-18,2024-04-19,7,Beijing Star International,2,Airport Transfer,Transfer,Paris,6,Nicolas Petit,Completed,11,0,556.24,377.95,EUR
BK-020117,2024-02-26,2024-04-30,2024-05-01,16,Mumbai Getaways Pvt,11,D-Day Normandy Tour,Tour,Normandy,2,Pierre Martin,Completed,10,0,1529.19,1181.96,EUR
BK-020118,2024-02-26,2024-03-25,2024-03-26,9,Maple Leaf Journeys,12,TGV Train Booking,Transfer,Multi-city,5,Camille Moreau,Completed,3,0,218.93,135.76,EUR
BK-020119,2024-02-16,2024-04-19,2024-04-24,10,Seoul Wanderers Co.,16,Hotel Vieux Lyon,Accommodation,Lyon,5,Camille Moreau,Completed,10,5,9272.0,6940.84,EUR
BK-020120,2024-02-10,2024-04-05,2024-04-06,2,Alpine Adventures GmbH,10,Mont Blanc Excursion,Tour,Chamonix,7,Isabelle Leroy,Completed,1,0,107.98,73.75,EUR
BK-020121,2024-02-05,2024-03-26,2024-03-29,5,Gulf Luxury Travel,10,Mont Blanc Excursion,Tour,Chamonix,8,Thomas Roux,Completed,6,3,1025.6,769.8,EUR
BK-020122,2024-02-19,2024-03-20,2024-03-22,10,Seoul Wanderers Co.,18,Marseille Port Tour,Tour,Marseille,7,Isabelle Leroy,Completed,1,2,137.42,80.38,EUR
BK-020123,2024-02-28,2024-04-01,2024-04-04,6,Southern Cross Holidays,1,City Walking Tour,Tour,Paris,6,Nicolas Petit,Completed,5,3,857.37,547.48,EUR
BK-020124,2024-02-14,2024-02-20,2024-03-04,14,Direct Client - Web,3,Hotel Le Marais,Accommodation,Paris,1,Marie Dubois,Cancelled,10,13,39668.54,27911.74,EUR
BK-020125,2024-02-08,2024-02-27,2024-03-01,1,Sakura Travel Group,9,Lyon Food Tour,Tour,Lyon,8,Thomas Roux,Completed,10,3,714.99,563.45,EUR
BK-020126,2024-02-26,2024-03-11,2024-03-16,7,Beijing Star International,16,Hotel Vieux Lyon,Accommodation,Lyon,2,Pierre Martin,Completed,11,5,10254.49,5785.51,EUR
BK-020127,2024-02-02,2024-04-26,2024-05-08,19,Amazon Corp Travel,8,Hotel Promenade Nice,Accommodation,Nice,5,Camille Moreau,Cancelled,4,12,12574.87,8794.51,EUR
BK-020128,2024-02-09,2024-03-15,2024-03-18,18,Thai Smile Holidays,5,Wine Tasting Bordeaux,Tour,Bordeaux,6,Nicolas Petit,Completed,3,3,458.56,280.04,EUR
BK-020129,2024-02-28,2024-05-02,2024-05-04,19,Amazon Corp Travel,19,Ski Package Alps,Tour,Chamonix,7,Isabelle Leroy,Completed,12,2,1072.61,838.37,EUR
BK-020130,2024-02-23,2024-04-09,2024-04-15,15,Horizon Corp Events,20,Hotel Negresco Nice,Accommodation,Nice,2,Pierre Martin,Completed,3,6,3620.32,2165.9,EUR
BK-020131,2024-02-23,2024-03-31,2024-04-03,4,Voyages Lumiere,5,Wine Tasting Bordeaux,Tour,Bordeaux,4,Jean-Luc Bernard,Completed,3,3,532.5,416.92,EUR
BK-020132,2024-02-01,2024-02-22,2024-02-23,13,Direct Client - Walk-in,7,Nice Coastal Tour,Tour,Nice,3,Sophie Laurent,Cancelled,8,1,864.96,575.56,EUR
BK-020133,2024-02-09,2024-02-13,2024-02-14,9,Maple Leaf Journeys,9,Lyon Food Tour,Tour,Lyon,7,Isabelle Leroy,Completed,6,0,897.4,515.85,EUR
BK-020134,2024-02-13,2024-03-14,2024-03-15,4,Voyages Lumiere,17,Strasbourg Christmas Tour,Tour,Strasbourg,1,Marie Dubois,Cancelled,6,0,305.89,178.63,EUR
BK-020135,2024-02-05,2024-04-14,2024-04-17,2,Alpine Adventures GmbH,20,Hotel Negresco Nice,Accommodation,Nice,8,Thomas Roux,Completed,11,3,5241.31,3716.65,EUR
BK-020136,2024-02-06,2024-04-14,2024-04-17,14,Direct Client - Web,5,Wine Tasting Bordeaux,Tour,Bordeaux,8,Thomas Roux,Completed,8,3,1353.51,806.2,EUR
BK-020137,2024-02-11,2024-05-11,2024-05-12,8,Nordic Explorers AB,9,Lyon Food Tour,Tour,Lyon,8,Thomas Roux,Completed,4,1,638.85,372.64,EUR
BK-020138,2024-02-07,2024-04-25,2024-04-26,3,Pacific Coast Tours,14,Versailles Day Trip,Tour,Versailles,6,Nicolas Petit,Completed,2,1,112.32,65.65,EUR
BK-020139,2024-02-15,2024-03-08,2024-03-13,7,Beijing Star International,3,Hotel Le Marais,Accommodation,Paris,5,Camille Moreau,Completed,12,5,13255.19,10459.71,EUR
BK-020140,2024-02-26,2024-04-15,2024-04-16,16,Mumbai Getaways Pvt,11,D-Day Normandy Tour,Tour,Normandy,2,Pierre Martin,Completed,6,1,1112.34,744.27,EUR
BK-020141,2024-02-01,2024-03-18,2024-03-19,18,Thai Smile Holidays,6,Chateau Stay Bordeaux,Accommodation,Bordeaux,4,Jean-Luc Bernard,Completed,2,1,460.3,278.71,EUR
BK-020142,2024-02-19,2024-04-06,2024-04-07,16,Mumbai Getaways Pvt,2,Airport Transfer,Transfer,Paris,4,Jean-Luc Bernard,Cancelled,4,0,344.19,262.44,EUR
BK-020143,2024-02-04,2024-02-21,2024-02-29,7,Beijing Star International,20,Hotel Negresco Nice,Accommodation,Nice,5,Camille Moreau,Completed,2,8,4485.77,3047.18,EUR
BK-020144,2024-02-25,2024-03-17,2024-03-19,20,Swiss Premium Tours,15,Provence Lavender Tour,Tour,Provence,1,Marie Dubois,Completed,9,2,651.66,447.06,EUR
BK-020145,2024-02-20,2024-02-28,2024-03-02,6,Southern Cross Holidays,16,Hotel Vieux Lyon,Accommodation,Lyon,1,Marie Dubois,Cancelled,9,3,6936.47,4643.25,EUR
BK-020146,2024-02-25,2024-03-12,2024-03-14,12,Kiwi Adventures Ltd,17,Strasbourg Christmas Tour,Tour,Strasbourg,3,Sophie Laurent,Completed,4,2,557.73,396.43,EUR
